Site,soil_treatment,depth,density,%gravel,%sand,%clay,%om,imperm,soiltemp,evco,trco_treeNL,trco_treeBL,trco_shrub,trco_forbs,trco_grassC3,trco_grassC4
all,fixed1,10,1.43,0,0.1,0.3,0,0,0.186,0.5,0.1,0.1,0.211234509,0.306575568,0.306575568,0.306575568
all,fixed1,20,1.41,0,0.1,0.3,0,0,0.372,0.35,0.25,0.25,0.168060003,0.213538459,0.213538459,0.213538459
all,fixed1,30,1.39,0,0.1,0.3,0,0,0.744,0.15,0.3,0.3,0.133709996,0.148735509,0.148735509,0.148735509
all,fixed1,40,1.39,0,0.1,0.3,0,0,1.116,0,0.2,0.2,0.106380832,0.103598443,0.103598443,0.103598443
all,fixed1,60,1.38,0,0.1,0.3,0,0,1.488,0,0.1,0.1,0.151975847,0.122420124,0.122420124,0.122420124
all,fixed1,80,1.15,0,0.1,0.3,0,0,2.232,0,0.05,0.05,0.096199668,0.059392272,0.059392272,0.059392272
all,fixed1,100,1.31,0,0.1,0.3,0,0,2.975,0,0,0,0.060893731,0.028814231,0.028814231,0.028814231
all,fixed1,150,1.31,0,0.1,0.3,0,0,2.975,0,0,0,0.071545414,0.016925393,0.016925393,0.016925393
1,specific,10,1.43,0,0.5,0.1,0,0,0.186,0.5,0.1,0.1,0.211234509,0.306575568,0.306575568,0.306575568
1,specific,20,1.41,0,0.52,0.1,0,0,0.372,0.35,0.25,0.25,0.168060003,0.213538459,0.213538459,0.213538459
1,specific,30,1.39,0,0.48,0.1,0,0,0.744,0.15,0.3,0.3,0.133709996,0.148735509,0.148735509,0.148735509
1,specific,40,1.39,0,0.2,0.1,0,0,1.116,0,0.2,0.2,0.106380832,0.103598443,0.103598443,0.103598443
1,specific,60,1.38,0,0.3,0.1,0,0,1.488,0,0.1,0.1,0.151975847,0.122420124,0.122420124,0.122420124
1,specific,80,1.15,0,0.4,0.1,0,0,2.232,0,0.05,0.05,0.096199668,0.059392272,0.059392272,0.059392272
1,specific,100,1.31,0,0.2,0.1,0,0,2.975,0,0,0,0.060893731,0.028814231,0.028814231,0.028814231
1,specific,150,1.31,0,0.2,0.1,0,0,2.975,0,0,0,0.071545414,0.016925393,0.016925393,0.016925393
2,specific,10,1.43,0,0.54,0.2,0,0,0.186,0.5,0.1,0.1,0.211234509,0.306575568,0.306575568,0.306575568
2,specific,20,1.41,0,0.41,0.2,0,0,0.372,0.35,0.25,0.25,0.168060003,0.213538459,0.213538459,0.213538459
2,specific,30,1.39,0,0.41,0.2,0,0,0.744,0.15,0.3,0.3,0.133709996,0.148735509,0.148735509,0.148735509
2,specific,40,1.39,0,0.3,0.2,0,0,1.116,0,0.2,0.2,0.106380832,0.103598443,0.103598443,0.103598443
2,specific,60,1.38,0,0.3,0.2,0,0,1.488,0,0.1,0.1,0.151975847,0.122420124,0.122420124,0.122420124
2,specific,80,1.15,0,0.2,0.2,0,0,2.232,0,0.05,0.05,0.096199668,0.059392272,0.059392272,0.059392272
2,specific,100,1.31,0,0.2,0.2,0,0,2.975,0,0,0,0.060893731,0.028814231,0.028814231,0.028814231
2,specific,150,1.31,0,0.2,0.2,0,0,2.975,0,0,0,0.071545414,0.016925393,0.016925393,0.016925393
"1,2",fixed2,10,1.43,0,0.54,0.2,0,0,0.186,0.5,0.1,0.1,0.211234509,0.306575568,0.306575568,0.306575568
"1,2",fixed2,20,1.41,0,0.41,0.2,0,0,0.372,0.35,0.25,0.25,0.168060003,0.213538459,0.213538459,0.213538459
"1,2",fixed2,30,1.39,0,0.41,0.2,0,0,0.744,0.15,0.3,0.3,0.133709996,0.148735509,0.148735509,0.148735509
"1,2",fixed2,40,1.39,0,0.3,0.2,0,0,1.116,0,0.2,0.2,0.106380832,0.103598443,0.103598443,0.103598443
"1,2",fixed2,60,1.38,0,0.3,0.2,0,0,1.488,0,0.1,0.1,0.151975847,0.122420124,0.122420124,0.122420124
"1,2",fixed2,80,1.15,0,0.2,0.2,0,0,2.232,0,0.05,0.05,0.096199668,0.059392272,0.059392272,0.059392272
"1,2",fixed2,100,1.31,0,0.2,0.2,0,0,2.975,0,0,0,0.060893731,0.028814231,0.028814231,0.028814231
"1,2",fixed2,150,1.31,0,0.2,0.2,0,0,2.975,0,0,0,0.071545414,0.016925393,0.016925393,0.016925393
